"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Sure Strike","R","C","81814","7.43","10628","10.55","21704","35.4%","53.3%","3561","51.1%","4858","52.2%","8419","51.7%","13281","54.3%","-2.5pp"
"Nine-Lives Familiar","B","R","6821","3.08","1795","3.53","7930","77.2%","53.3%","1386","54.1%","1976","55.3%","3362","54.8%","4556","52.2%","2.6pp"
"Brineborn Cutthroat","U","U","21953","4.31","4810","5.49","21830","80.0%","53.3%","3952","52.7%","5841","54.3%","9793","53.6%","11987","52.9%","0.7pp"
"Stromkirk Bloodthief","B","U","24602","4.93","3846","6.83","13237","59.6%","53.2%","2363","54.1%","3178","54.1%","5541","54.1%","7692","52.6%","1.5pp"
"Loot, Exuberant Explorer","G","R","4372","2.07","1723","2.11","8223","83.3%","53.2%","1488","55.0%","1941","56.2%","3429","55.7%","4800","51.4%","4.3pp"
"Snakeskin Veil","G","U","23145","4.48","3932","5.96","18257","80.8%","53.1%","2976","52.1%","4101","53.5%","7077","52.9%","11009","53.1%","-0.2pp"
"Flamewake Phoenix","R","R","5418","2.57","1821","2.80","8348","80.4%","53.1%","1410","49.8%","1808","52.8%","3218","51.5%","5141","54.2%","-2.7pp"
"Sanguine Syphoner","B","C","75081","6.12","9639","8.96","27687","50.4%","53.1%","5126","53.4%","6595","52.9%","11721","53.1%","15939","53.0%","0.1pp"
"Solemn Simulacrum","","R","3621","1.73","2059","1.79","11108","93.4%","53.0%","1954","54.0%","2757","55.6%","4711","55.0%","6377","51.5%","3.4pp"
"Icewind Elemental","U","C","78019","6.48","11052","9.25","27475","44.0%","53.0%","4525","51.1%","7536","54.7%","12061","53.3%","15462","52.6%","0.7pp"
"Cephalid Inkmage","U","U","26897","5.53","4375","7.46","12747","51.5%","52.9%","2274","50.9%","3438","56.6%","5712","54.3%","7000","51.7%","2.6pp"
"Bushwhack","G","C","62765","4.78","9197","6.65","42648","80.8%","52.9%","7588","51.6%","9590","54.3%","17178","53.1%","24963","52.6%","0.5pp"
"Blossoming Sands","","C","41076","6.77","5652","9.65","16505","51.0%","52.9%","3023","55.3%","3712","51.0%","6735","52.9%","9766","52.9%","0.0pp"
"Hidetsugu's Second Rite","R","U","32328","7.53","3988","10.93","1907","8.4%","52.8%","291","","453","","744","55.4%","1163","51.2%","4.2pp"
"Giant Growth","G","C","78052","6.54","9348","9.40","26018","49.0%","52.8%","4287","50.6%","5774","54.4%","10061","52.8%","15813","52.8%","0.1pp"
"Dwynen, Gilt-Leaf Daen","G","U","21540","4.31","3316","5.73","12863","68.2%","52.8%","2218","52.6%","2915","54.3%","5133","53.6%","7770","52.1%","1.5pp"
"Billowing Shriekmass","B","U","24813","4.83","4520","6.42","15732","61.4%","52.7%","2654","50.3%","4113","57.1%","6767","54.4%","8990","51.4%","3.0pp"
