Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Turn Inside Out,R,C,370585,5.83,68786,7.87,299086,70.80%,56.30%,47944,56.40%,65656,57.30%,113600,56.90%,185414,55.90%,1.1pp
Untimely Malfunction,R,U,159604,6.41,20023,9.49,31404,26.00%,52.80%,4911,51.30%,7046,54.00%,11957,52.90%,19446,52.80%,0.1pp
Vengeful Possession,R,U,141444,5.4,24743,7.23,84277,56.10%,55.30%,13250,54.00%,20165,59.20%,33415,57.10%,50779,54.10%,3.1pp
Vicious Clown,R,C,401889,6.89,57133,9.71,168392,48.40%,55.00%,28381,54.00%,36032,53.20%,64413,53.50%,103915,55.90%,-2.4pp
Violent Urge,R,U,148532,5.66,22601,7.93,69305,50.80%,53.60%,10734,51.90%,15190,53.50%,25924,52.90%,43369,54.00%,-1.1pp
Waltz of Rage,R,R,31372,2.97,11027,3.15,49129,74.30%,54.00%,7840,55.10%,11535,57.30%,19375,56.40%,29724,52.40%,4.1pp
"Altanak, the Thrice-Called",G,U,89092,3.35,20889,4.15,100181,79.80%,54.00%,15403,51.50%,24260,55.70%,39663,54.00%,60528,53.90%,0.1pp
Anthropede,G,C,419679,7.41,45486,10.97,54850,20.20%,51.50%,8766,48.00%,13109,51.80%,21875,50.30%,32974,52.30%,-2.0pp
Balustrade Wurm,G,R,16857,1.62,10504,1.62,59268,91.20%,56.20%,9915,56.50%,14867,60.20%,24782,58.70%,34572,54.40%,4.3pp
Bashful Beastie,G,C,373575,5.64,58434,8.02,258054,73.00%,54.30%,41041,53.40%,64367,55.90%,105408,54.90%,152859,53.70%,1.2pp
Break Down the Door,G,U,107649,3.8,25349,4.88,132854,86.90%,54.60%,22448,53.50%,32268,57.40%,54716,55.80%,78180,53.70%,2.2pp
Cathartic Parting,G,U,146350,5.47,24919,7.48,86569,58.30%,53.20%,14132,51.30%,21306,55.80%,35438,54.00%,51197,52.70%,1.3pp
Cautious Survivor,G,C,410329,7,46997,10.39,86865,30.90%,52.70%,14147,51.20%,20260,53.30%,34407,52.40%,52389,52.80%,-0.4pp
Coordinated Clobbering,G,U,105159,3.77,21597,4.92,103959,80.00%,53.90%,16706,54.70%,25160,56.00%,41866,55.50%,62199,52.80%,2.6pp
Cryptid Inspector,G,C,373478,5.88,50421,8.49,179012,59.40%,53.00%,30617,51.30%,44124,53.10%,74741,52.40%,104363,53.50%,-1.1pp
Defiant Survivor,G,U,84713,3.09,22081,3.82,119173,89.40%,54.30%,20844,55.90%,28190,54.50%,49034,55.10%,70106,53.60%,1.5pp
